ID,gsl.6mSOh.blup,gsl.1moIM.blup,gsl.S2hBuen.blup,gsl.4mSOb.blup,gsl.1hIM.blup,gsl.8MTO.blup,gsl.new.1.blup,gsl.3boP.blup,gsl.Peen.blup,gsl.3mSOp.blup,gsl.4boP.blup,gsl.R2hBuen.blup,gsl.5boP.blup,gsl.PE.blup,gsl.iBu.blup,gsl.4moIM.blup,gsl.new.2.blup,gsl.XhBz.blup,gsl.7mSh.blup,gsl.IM.blup,gsl.5mSOp.blup,gsl.2hPeen.blup,gsl.7mSOh.blup,gsl.XhPE.blup,gsl.Buen.blup,gsl.8mSOo.blup,gsl.Pren.blup
1_10,-0.103780562554981,-0.0749476886815658,-0.0578428599439757,-0.300209121068004,0.0772522978334022,-0.206621589284269,-0.524184548876831,-0.0391186945825291,-0.181436627197697,-0.0410214050680014,0.0217589329765988,-0.0555235656656406,-0.106072742255309,0.217196043916126,-0.159866537424166,-0.145127782024163,-0.767631862162336,0.0559433578315001,-0.191707843351247,-0.0761833025036764,-0.402619402472526,-0.0748631727559078,-0.0678605491816355,-0.0822571531759321,-0.139606342000177,-0.0986081600601367,0.258700852874819
1_105,0.0624981555525058,-0.117269565151034,-0.0107530760908997,-0.160255145760739,-0.111489458581958,-0.037438542097114,-0.500771690799255,-0.0205430837756066,-0.317796841405633,0.185476745520478,0.0392929053398924,-0.020820737495376,0.0301937812044006,0.378510816630665,-0.11207163496132,0.124764506656461,-0.333307409762217,0.344865679779264,0.0821481016380382,-0.00867193559299629,-0.298476334884418,-0.214867705146889,0.0480917939886048,-0.137968185302613,-0.115680097646665,0.0614472871783067,0.42507637194865
1_106,-0.0858046396004266,-0.159361507576793,-0.0964243943281857,-0.236199027770576,-0.0361192570856546,-0.047260651053646,-0.563651233143942,-0.0690311656798629,-0.326351473630099,0.115147549999194,-0.0382925701531792,-0.060537005130878,0.0607972769993438,0.342034149510944,-0.115220599080005,0.177278424546357,-0.428683144366375,0.176470719100897,-0.042831985846046,-0.132261940275734,-0.207091153442563,-0.31510130592602,-0.0217692785981956,-0.141720196840369,-0.1818062214942,0.0219497035754847,0.343448616441982
1_109,-0.130196515802486,0.091915732383352,-0.0392017522598216,-0.169841942918738,0.0951796783819501,0.154816268555885,-0.29439543292355,0.0251794854652653,-0.238055215552608,0.145531226682292,0.0364770529258454,0.000143257183218539,0.0843583057646988,0.302414535396506,-0.0978599983522167,0.0710706414785705,-0.222566080949555,0.242734666821509,0.0893236718586108,0.0338899067114481,-0.350047741524599,-0.169489818462972,-0.00744096430139159,-0.156455480668704,-0.0803943624874057,0.137215191520594,0.441960532967285
1_110,0.0819223206000875,-0.0267374919418545,0.0196662584129667,-0.169494897931942,0.265679017388842,0.0726416563321108,-0.547680645959613,0.016349671421309,-0.0253204249064852,-0.222931980453427,-0.0689203350308111,0.0300875976137292,-0.0262052190868282,0.33037791876877,-0.0811268928098927,0.14523106266123,-0.29507949651798,0.245065389857592,0.00735490742966883,0.146151798082671,-0.0630499137128184,0.0345161521301692,0.0687423994549726,-0.0490945687892662,-0.0527467984448656,0.0225387328568495,-0.753475694348589
1_111,-0.109850580023229,-0.0142087868370062,-0.0765716257102757,-0.0888704815081006,-0.0922612828771913,-0.00720498600504645,-0.688864850821217,-0.05372016931998,-0.331732517580194,0.166769254810385,-0.0156099250112642,-0.0840409403526222,0.0737884995899438,0.263223024055468,-0.122257613018387,-0.154031247904554,-0.500971975325472,0.143318598815122,0.00465787709801616,-0.0914633235266399,-0.241383720075414,-0.278902574057311,-0.0276971046620774,-0.11929940564421,-0.145983998518021,0.120000631111187,0.365586955779236
1_112,0.17669152695957,0.127951618628774,0.0796947481094578,0.0638422008506869,0.101913622625263,0.249617681418417,0.0895243140573659,0.0946640492801288,0.302453065496973,-0.287934310687075,0.044056771279469,0.0745974179687593,0.00243548674215966,0.215899182555742,0.0643260327860618,-0.00625485296040395,0.0447101435584038,0.191213396280499,0.258120655916386,0.18104992683409,0.15271885463909,0.233336944107477,0.204639311621023,-0.169616801974043,0.0757405425726939,0.164950581283058,-0.886719018919344
1_114,0.018525315846468,0.000427033615214295,-0.0352204635475086,-0.235626560029395,-0.0121052520235707,-0.0314716466226862,-0.511807185568648,0.099181931369123,-0.12570676387376,0.165281451750918,0.0140167818170623,-0.0244760485960193,0.0265463587272556,0.213894153704597,-0.121787434005961,0.0372714081247476,-0.620886635008129,0.136855711024011,-0.102126787829572,0.0458573397980292,-0.0781276228868718,0.0513945820489016,0.0559689479648815,-0.190804317545476,-0.131718883628739,0.0810475548215506,0.322260135686433
1_115,0.0426832724938928,0.0480486760906017,-0.0457465493197615,-0.275007104671945,-0.0211060334990845,0.126168330161856,-0.628714126191328,-0.0485433121359711,-0.357939297138288,0.00611717332211444,-0.102052560979199,-0.0415002738833064,0.0178006636965264,0.302257645918293,-0.0813306435911336,-0.00926868666285432,-0.605153599312356,0.201535518401572,0.0887904865573906,-0.0611807877839904,-0.455461174422634,-0.191961408287918,-0.0265354972358147,-0.17653449318375,-0.105544401404762,0.00235591536054334,0.469240379793055
1_116,0.0819794215871247,0.0319313752687379,0.0331400091577544,-0.153893526705957,-0.123571614729025,0.0791861673189989,0.602321820459022,0.0183475065233244,0.157806713559633,-0.258719383678295,0.0721594388749326,0.0303874961461892,0.00573472154117571,-0.237314768559394,0.0986798753173056,0.0645087619095482,0.641759383651106,0.0391844344596515,0.114151167625682,-0.13147353456714,0.0245399313179245,0.131653226128108,0.00683185369380697,-0.0300918022492044,0.0493974323034389,0.0182848715976474,-0.176454140480712
