ecotype_id,ID,SAMPLE,pop_code,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,ratio8,ratio9,ratio10,ratio11,ratio12,ratio13,ratio14,ratio15,ratio16,ratio17,ratio18,ratio19,ratio20,ratio21
71192,6_95,TOU-A6-95,TOUA6,-2.5641528225096,-2.44744918280611,-8.13238582342251,0.116703639703482,-5.56823300091291,-5.68493664061639,-4.31279605833203,-0.000830749137259861,4.31196530919477,5.13906933384711,-3.70328993400357,-5.00637965775321,-5.32555516010507,-7.0741983959275,-2.87893672643621,-0.408800076959344,0.418303947692997,2.47623918922368,2.91799842081716,6.57182371725185,-3.65382529643469
71072,1_85,TOU-A1-85,TOUA1,-1.4169621741555,-0.865492453550406,-6.97357644029864,0.551469720605095,-5.55661426614314,-6.10808398674823,-0.211416978236213,4.35544003076543,4.56685700900164,5.99048709232618,-3.16878580754095,-4.78919997382996,-8.37969868298133,-7.17415348706204,-3.15876619866549,-0.329874579043958,1.09375550428059,1.19007546734186,1.71712917905312,7.27819200350681,-5.56106282445369
71084,6_101,TOU-A6-101,TOUA6,-3.36862417248496,-2.1599426268443,-6.78578044362435,1.20868154564066,-3.4171562711394,-4.62583781678006,-1.56099476171354,3.75173869159258,5.31273345330613,6.16892561476432,-3.77037072270425,-5.20616139064549,-8.00022684715746,-6.19259743638604,-2.08854552872058,-0.127732033945087,0.728460127513103,1.15472405508587,2.07230781931311,6.07487478219153,-4.00256696287843
71114,6_22,TOU-A6-22,TOUA6,-1.42302382958508,-0.7642465186809,-6.7496052664627,0.658777310904182,-5.32658143687762,-5.9853587477818,-0.181231286520186,4.67602848604713,4.85725977256731,6.29148619352921,-3.98515725004871,-5.62962844305986,-8.56086625850276,-7.31907371543786,-3.12059125377473,-0.494785416717614,0.939441004244281,1.46460099777069,2.28162171593693,6.98621821621286,-4.70459650027593
71028,1_14,TOU-A1-14,TOUA1,-0.73772115691371,-0.759622661565427,-6.514701328107,-0.0219015046517171,-5.77698017119329,-5.75507866654157,-0.075703564118425,4.55816907200748,4.63387263612591,5.44617353157014,-3.89905339177173,-5.24019332143998,-8.3432976424491,-7.68128004965381,-3.02550590887619,-0.515620870097013,0.296680025347226,1.41241601909716,2.45366880180617,6.19950402856549,-3.74583522675931
71157,6_62,TOU-A6-62,TOUA6,-5.700148715999,-3.79312484250294,-7.6755311625487,1.90702387349606,-1.9753824465497,-3.88240632004576,-2.48817980674979,2.42362108837278,4.91180089512257,5.90289557358581,-3.65621017525148,-4.93279845109308,-7.08657374788498,-3.87460483863578,-0.869827817009265,-0.157238691941939,0.833855986521304,2.36193610425797,2.18702316190895,6.2098403581154,-4.02281719620644
71124,6_31,TOU-A6-31,TOUA6,-2.56474664571858,-3.18436818401414,-7.58310455310657,-0.619621538295554,-5.01835790738798,-4.39873636909243,-2.20580832099044,2.05030322634531,4.25611154733574,5.50395314026349,-4.01317201478839,-5.22574482790399,-7.57206588448672,-7.21312755975857,-2.33739447412727,-0.117078022206179,1.13076357072157,0.608569537953803,1.19095988985217,6.42973383403461,-5.23877394418243
71163,6_68,TOU-A6-68,TOUA6,-2.33276820377319,-2.03846484968267,-6.67931159953447,0.294303354090522,-4.34654339576127,-4.6408467498518,-1.59758594065907,3.34501587740081,4.94260181805987,6.04916573033784,-4.2659020005489,-4.76951103003596,-7.64010377532024,-6.90492151220611,-2.25662304823676,-0.287377778377479,0.819186133900489,1.89443960041,2.32388836224804,6.25426956161108,-3.93038119936304
71026,1_137,TOU-A1-137,TOUA1,-2.97195656020388,-2.43787829164526,-8.54760662934427,0.534078268558624,-5.57565006914039,-6.10972833769901,-4.12229617233005,0.425979497941499,4.54827567027155,5.9380666748534,-3.73918585420401,-5.09063107305726,-6.12704914508998,-7.27738875721615,-3.26319135550322,-0.279409755218233,1.11038124936362,1.71470683925327,2.8690511828181,6.47698637257454,-3.60793518975644
71158,6_63,TOU-A6-63,TOUA6,-6.01695182132687,-2.97029547828904,-6.69048171056335,3.04665634303783,-0.673529889236477,-3.72018623227431,-2.18021866159905,3.13744368923078,5.31766235082984,5.83769000446382,-2.02994371305766,-3.45569746928179,-6.61706380614644,-2.78033064641862,-0.509324638626619,-0.0933940834548118,0.426633570179173,1.85080356090997,1.91202588274581,6.40153474193548,-4.48950885918967
71018,1_124,TOU-A1-124,TOUA1,-2.38022952477668,-2.07947774509478,-7.09821324316973,0.300751779681905,-4.71798371839305,-5.01873549807495,-1.84594023136855,3.22101036203131,5.06695059339986,5.81546414334047,-3.91474522731711,-5.50562426808416,-7.96929814679191,-7.43500885338378,-2.66881003966583,0.128664907342367,0.877178457282984,1.80422460642576,2.17183320481283,7.7146191699459,-5.54278596513307
71057,1_66,TOU-A1-66,TOUA1,-3.02318635579286,-3.16294291713716,-7.02254226830105,-0.1397565613443,-3.99935591250819,-3.85959935116389,-2.49954659024327,1.97412809506922,4.47367468531249,5.62072483126386,-3.77320064632907,-4.24442390164709,-7.0211843866091,-6.4975446210595,-1.88411337440271,0.155336915240888,1.30238706119226,1.31156566817426,1.74566781641279,5.82662039957788,-4.08095258316509
71193,6_96,TOU-A6-96,TOUA6,-1.98750032493175,-2.49838223381458,-7.18262432143767,-0.510881908882827,-5.19512399650592,-4.6842420876231,-2.2617919048501,2.22273315370776,4.48452505855787,5.30729266446041,-3.83558317582852,-4.79388245298263,-7.73686776196633,-8.01115934188468,-3.01575237444399,-0.0668521791326165,0.755915426769932,1.77503842266204,2.22747671098153,6.70116352604712,-4.47368681506559
